Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C11,100nF,C_0402_1005Metric,-191.6,-73.7,-90,bottom
Q1,2N7002,SOT-23,-187.8,-73.8,90,bottom
Q2,2N7002,SOT-23,-187.8,-69.8625,-90,bottom
R9,1k,R_0402_1005Metric,-192.7,-73.7,-90,bottom
R10,10k,R_0402_1005Metric,-190.5,-73.7,90,bottom
C1,4u7,C_0402_1005Metric,207.2,-70.8,-90,top
C2,100nF,C_0402_1005Metric,207,-69.2,0,top
C3,100nF,C_0402_1005Metric,182.9,-65.3,180,top
C4,10uF,C_0402_1005Metric,210.5,-67.9,0,top
C5,10uF,C_0402_1005Metric,216.5,-70.2,90,top
C6,100nF,C_0402_1005Metric,221.4,-66.6,-90,top
C7,100nF,C_0402_1005Metric,186.5,-67.1,90,top
C8,22uF,C_0805_2012Metric,219.4,-74.3,0,top
C9,100nF,C_0402_1005Metric,221.6,-70.8,90,top
C10,100nF,C_0402_1005Metric,181.1,-78.9,0,top
C12,100nF,C_0402_1005Metric,208.4,-77.2,0,top
C13,100nF,C_0402_1005Metric,184.68,-78.9,180,top
D1,Red,LED_0805_2012Metric,218.4,-77.6,0,top
D2,Red,LED_0805_2012Metric,217.2,-66.8,0,top
D3,ESD9B5.0ST5G,D_SOD-923,185.2,-67.6,-90,top
D4,ESD9B5.0ST5G,D_SOD-923,185.6,-72.7,90,top
D5,ESD9B5.0ST5G,D_SOD-923,185.6,-70.8,-90,top
J3,USB_B_Micro,USB_Micro-B_Molex_47346-0001,182,-72.1,-90,top
Q3,S8050-G,SOT-23,205.7,-77.3,-90,top
Q4,S8050-G,SOT-23,199.5,-77.5,-90,top
R1,560R,R_0402_1005Metric,216.9,-74.41,90,top
R2,5.1k,R_0402_1005Metric,218.5,-68.89,-90,top
R3,1k,R_0402_1005Metric,201.3,-66.4,0,top
R4,22.1k,R_0402_1005Metric,203.3,-66.4,0,top
R5,47.5k,R_0402_1005Metric,205.2,-66.6,90,top
R6,10k,R_0402_1005Metric,199.3,-66.4,180,top
R7,22R,R_0402_1005Metric,215,-78.49,-90,top
R8,22R,R_0402_1005Metric,213.9,-78.5,-90,top
R11,0R,R_0402_1005Metric,191.6,-79.3,0,top
R12,0R,R_0402_1005Metric,194.1,-79.3,0,top
R13,10k,R_0402_1005Metric,208.4,-75.6,180,top
R14,10k,R_0402_1005Metric,205.7,-74.8,0,top
R15,10k,R_0402_1005Metric,202.9,-77.6,-90,top
SW1,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,192.5,-75.3,0,top
SW2,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,192.5,-68.8,180,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,212.5,-72.9,-90,top
U2,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,201.6,-72,180,top
U3,ESP32-WROOM-32,ESP32-WROOM-32,233.7,-72.2,-90,top
